행정구역별,항목,2023
부산광역시,귀농인수 (명),36
대구광역시,귀농인수 (명),163
인천광역시,귀농인수 (명),88
경기도,귀농인수 (명),1033
강원도,귀농인수 (명),720
충청북도,귀농인수 (명),730
충청남도,귀농인수 (명),1333
전라북도,귀농인수 (명),1099
전라남도,귀농인수 (명),1803
경상북도,귀농인수 (명),1950
경상남도,귀농인수 (명),1220
제주특별자치도,귀농인수 (명),243
