구분, 2013년 귀농 가구원 수 , 2013년 귀촌 가구원 수 , 2014년 귀농 가구원 수 , 2014년 귀촌 가구원 수 , 2015년 귀농 가구원 수 , 2015년 귀촌 가구원 수 , 2016년 귀농 가구원 수 , 2016년 귀촌 가구원 수 , 2017년 귀농 가구원 수, 2017년 귀촌 가구원 수, 2018년 귀농 가구원 수, 2018년 귀촌 가구원 수, 2019년 귀농 가구원 수, 2019년 귀촌 가구원 수, 2020년 귀농 가구원 수, 2020년 귀촌 가구원 수, 2021년 귀농 가구원 수, 2021년 귀촌 가구원 수, 2022년 귀농 가구원 수, 2022년 귀촌 가구원 수, 2023년 귀농 가구원 수, 2023년 귀촌 가구원 수
영천,215,1710,221,1829,262,1815,206,1861,225,1964,215,2113,213,2580,189,2188,224,2187,221,2167,188,2110
상주,278,1403,303,1439,269,1411,302,1590,269,1429,223,1505,232,1503,268,1440,282,1445,280,1568,205,1253
의성,208,1206,220,1304,252,1299,273,1385,281,1385,266,1400,260,1516,277,1502,292,1357,259,1434,262,1640
