"행정구역별","항목",2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"행정구역별","항목",계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상
"울주군","동반가구원수 (명)",42,23,5,7,6,X,13,5,X,4,X,X,31,14,0,11,X,X,49,24,X,14,8,0,29,8,0,7,10,4,27,10,X,8,5,X
"세종특별자치시","귀농가구원수 (명)",120,27,17,39,30,7,103,18,17,36,28,4,99,28,18,29,20,4,134,33,18,44,32,7,103,16,7,35,34,11,62,15,4,20,20,X
"세종특별자치시","귀농인수 (명)",88,10,14,31,27,6,71,7,14,26,22,X,71,12,14,24,17,4,90,14,12,33,27,4,81,10,7,30,26,8,48,11,X,16,15,X
"세종특별자치시","동반가구원수 (명)",32,17,X,8,X,X,32,11,X,10,6,X,28,16,4,5,X,0,44,19,6,11,5,X,22,6,0,5,8,X,14,4,X,4,5,0
"세종시","귀농가구원수 (명)",120,27,17,39,30,7,103,18,17,36,28,4,99,28,18,29,20,4,134,33,18,44,32,7,103,16,7,35,34,11,62,15,4,20,20,X
"세종시","귀농인수 (명)",88,10,14,31,27,6,71,7,14,26,22,X,71,12,14,24,17,4,90,14,12,33,27,4,81,10,7,30,26,8,48,11,X,16,15,X
"세종시","동반가구원수 (명)",32,17,X,8,X,X,32,11,X,10,6,X,28,16,4,5,X,0,44,19,6,11,5,X,22,6,0,5,8,X,14,4,X,4,5,0
"경기도","귀농가구원수 (명)",1534,433,198,463,339,101,1403,307,182,472,329,113,1793,553,201,513,428,98,1929,451,217,519,576,166,1888,526,197,522,518,125,1509,361,157,452,427,112
"경기도","귀농인수 (명)",987,146,151,359,266,65,999,117,146,381,280,75,1118,165,155,394,340,64,1288,169,177,397,426,119,1207,147,162,413,402,83,1033,137,120,368,328,80
"경기도","동반가구원수 (명)",547,287,47,104,73,36,404,190,36,91,49,38,675,388,46,119,88,34,641,282,40,122,150,47,681,379,35,109,116,42,476,224,37,84,99,32
"평택시","귀농가구원수 (명)",95,26,9,31,21,8,81,24,10,21,17,9,154,45,26,41,33,9,128,34,18,37,27,12,131,28,17,50,27,9,110,28,14,31,24,13
"평택시","귀농인수 (명)",73,15,7,26,19,6,64,13,8,19,16,8,95,14,17,32,26,6,91,16,16,29,20,10,97,9,15,44,23,6,73,9,10,28,17,9
"평택시","동반가구원수 (명)",22,11,X,5,X,X,17,11,X,X,X,X,59,31,9,9,7,X,37,18,X,8,7,X,34,19,X,6,4,X,37,19,4,X,7,4
"남양주시","귀농가구원수 (명)",66,22,13,18,9,4,92,21,9,40,22,0,103,28,15,35,19,6,112,35,16,33,21,7,270,198,11,25,32,4,109,34,13,28,25,9
"남양주시","귀농인수 (명)",42,8,9,16,7,X,66,6,9,32,19,0,68,11,12,27,15,X,64,9,12,24,16,X,61,11,8,17,21,4,61,8,8,20,18,7
"남양주시","동반가구원수 (명)",24,14,4,X,X,X,26,15,0,8,X,0,35,17,X,8,4,X,48,26,4,9,5,4,209,187,X,8,11,0,48,26,5,8,7,X
"용인시","귀농가구원수 (명)",105,37,22,28,16,X,117,36,15,42,17,7,131,50,9,38,29,5,147,35,19,38,44,11,84,20,6,26,24,8,95,27,11,32,20,5
"용인시","귀농인수 (명)",62,8,18,21,13,X,71,7,14,31,14,5,71,13,9,26,19,4,74,13,17,22,19,X,56,9,5,19,18,5,56,10,7,23,13,X
"용인시","동반가구원수 (명)",43,29,4,7,X,0,46,29,X,11,X,X,60,37,0,12,10,X,73,22,X,16,25,8,28,11,X,7,6,X,39,17,4,9,7,X
"파주시","귀농가구원수 (명)",91,21,8,25,28,9,87,19,10,24,20,14,94,17,9,37,28,X,81,22,8,14,30,7,97,26,15,22,24,10,71,20,10,19,18,4
"파주시","귀농인수 (명)",62,8,7,20,22,5,56,11,6,17,15,7,65,6,7,26,24,X,56,10,8,11,21,6,69,13,14,16,19,7,50,8,9,15,15,X
"파주시","동반가구원수 (명)",29,13,X,5,6,4,31,8,4,7,5,7,29,11,X,11,4,X,25,12,0,X,9,X,28,13,X,6,5,X,21,12,X,4,X,X
"이천시","귀농가구원수 (명)",121,42,21,25,22,11,96,28,15,24,21,8,109,30,17,31,25,6,153,40,18,36,45,14,131,33,8,35,42,13,122,32,9,47,27,7
"이천시","귀농인수 (명)",65,13,13,18,16,5,62,13,12,17,17,X,72,15,14,22,18,X,111,20,12,30,36,13,78,15,4,23,31,5,84,16,7,37,19,5
"이천시","동반가구원수 (명)",56,29,8,7,6,6,34,15,X,7,4,5,37,15,X,9,7,X,42,20,6,6,9,X,53,18,4,12,11,8,38,16,X,10,8,X
"안성시","귀농가구원수 (명)",137,44,18,37,29,9,108,19,18,37,25,9,128,21,15,43,39,10,174,36,30,45,51,12,167,37,24,51,47,8,108,22,16,34,28,8
"안성시","귀농인수 (명)",85,14,11,30,23,7,82,6,14,32,22,8,96,9,10,37,33,7,119,11,21,36,44,7,120,18,22,39,36,5,81,9,15,28,21,8
"안성시","동반가구원수 (명)",52,30,7,7,6,X,26,13,4,5,X,X,32,12,5,6,6,X,55,25,9,9,7,5,47,19,X,12,11,X,27,13,X,6,7,0
"김포시","귀농가구원수 (명)",91,23,6,36,23,X,74,17,9,26,20,X,126,45,15,39,20,7,118,26,12,33,38,9,106,26,16,28,29,7,86,23,18,22,17,6
"김포시","귀농인수 (명)",62,10,5,27,17,X,50,X,8,21,17,X,68,6,13,27,19,X,71,8,9,24,24,6,67,5,14,24,20,4,58,10,13,17,14,4
"김포시","동반가구원수 (명)",29,13,X,9,6,0,24,15,X,5,X,0,58,39,X,12,X,4,47,18,X,9,14,X,39,21,X,4,9,X,28,13,5,5,X,X
"화성시","귀농가구원수 (명)",186,65,21,56,35,9,158,37,24,52,28,17,192,59,17,67,37,12,235,58,30,66,69,12,199,47,26,61,49,16,242,59,25,65,77,16
"화성시","귀농인수 (명)",117,23,18,42,28,6,106,16,17,40,25,8,128,23,12,56,30,7,157,22,24,51,53,7,128,15,23,44,36,10,160,22,17,50,62,9
"화성시","동반가구원수 (명)",69,42,X,14,7,X,52,21,7,12,X,9,64,36,5,11,7,5,78,36,6,15,16,5,71,32,X,17,13,6,82,37,8,15,15,7
"광주시","귀농가구원수 (명)",82,25,20,23,9,5,44,5,X,22,11,X,90,33,18,18,18,X,114,30,7,30,32,15,51,12,6,17,12,4,56,16,4,10,22,4
"광주시","귀농인수 (명)",46,7,15,17,5,X,35,5,X,17,10,X,53,12,12,12,15,X,70,8,7,21,23,11,35,6,4,11,11,X,33,5,4,7,14,X
"광주시","동반가구원수 (명)",36,18,5,6,4,X,9,0,X,5,X,X,37,21,6,6,X,X,44,22,0,9,9,4,16,6,X,6,X,X,23,11,0,X,8,X
"양주시","귀농가구원수 (명)",46,18,4,13,6,5,36,9,5,7,9,6,51,19,8,11,8,5,32,7,X,7,12,X,48,10,6,16,14,X,46,20,X,10,13,X
"양주시","귀농인수 (명)",31,10,X,10,5,4,27,X,5,6,8,5,26,4,5,8,6,X,24,4,X,4,10,X,35,4,5,13,12,X,24,5,X,8,10,0
"양주시","동반가구원수 (명)",15,8,X,X,X,X,9,6,0,X,X,X,25,15,X,X,X,X,8,X,0,X,X,0,13,6,X,X,X,X,22,15,X,X,X,X
"포천시","귀농가구원수 (명)",89,25,11,30,19,4,83,23,9,18,27,6,95,20,16,32,23,4,127,30,11,34,45,7,121,18,11,43,39,10,84,22,7,27,23,5
"포천시","귀농인수 (명)",56,6,9,24,17,0,60,11,7,13,25,4,69,7,14,24,21,X,88,13,11,23,35,6,89,9,10,33,31,6,60,10,7,22,17,4
"포천시","동반가구원수 (명)",33,19,X,6,X,4,23,12,X,5,X,X,26,13,X,8,X,X,39,17,0,11,10,X,32,9,X,10,8,4,24,12,0,5,6,X
"여주시","귀농가구원수 (명)",134,33,12,39,44,6,102,17,10,31,35,9,127,33,13,26,47,8,140,21,11,40,46,22,118,14,14,40,43,7,131,22,10,50,41,8
"여주시","귀농인수 (명)",85,7,11,29,34,4,78,7,8,29,26,8,90,16,12,20,35,7,99,10,8,32,37,12,91,6,10,37,32,6,102,10,8,44,35,5
"여주시","동반가구원수 (명)",49,26,X,10,10,X,24,10,X,X,9,X,37,17,X,6,12,X,41,11,X,8,9,10,27,8,4,X,11,X,29,12,X,6,6,X
"연천군","귀농가구원수 (명)",75,17,8,24,21,5,51,5,9,21,12,4,46,11,4,15,15,X,66,16,5,20,18,7,78,16,5,25,23,9,40,4,7,8,16,5
"연천군","귀농인수 (명)",51,9,6,16,17,X,44,X,8,18,12,X,35,6,4,12,12,X,53,8,5,19,14,7,64,8,5,24,20,7,32,X,5,8,11,5
"연천군","동반가구원수 (명)",24,8,X,8,4,X,7,X,X,X,0,X,11,5,0,X,X,0,13,8,0,X,4,0,14,8,0,X,X,X,8,X,X,0,5,0
"가평군","귀농가구원수 (명)",62,5,5,29,17,6,71,9,X,36,17,6,69,8,6,20,28,7,46,6,6,13,16,5,81,13,12,22,29,5,50,10,X,12,21,4
"가평군","귀농인수 (명)",49,X,5,25,12,6,52,X,X,30,14,X,52,X,5,16,23,5,38,4,4,12,13,5,63,6,8,18,26,5,39,5,X,12,17,X
"가평군","동반가구원수 (명)",13,4,0,4,5,0,19,6,X,6,X,X,17,5,X,4,5,X,8,X,X,X,X,0,18,7,4,4,X,0,11,5,X,0,4,X
"양평군","귀농가구원수 (명)",154,30,20,49,40,15,203,38,33,71,48,13,278,134,13,60,59,12,256,55,23,73,82,23,206,28,20,61,84,13,159,22,8,57,55,17
