"이동후 시도별","항목",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"이동후 시도별","항목",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"인천광역시","동반가구원수 (명)",48,9,0,0,23,0,0,0,0,15,0,0,X,0,0,0,0,0,47,7,0,0,19,0,0,0,0,21,0,0,0,0,0,0,0,0,58,11,0,0,31,0,0,0,0,15,0,0,0,0,0,0,0,X,36,13,0,0,12,0,0,0,0,11,0,0,0,0,0,0,0,0,16,X,0,0,10,0,X,0,0,X,0,0,0,0,0,0,0,0
"울산광역시","귀농가구원수 (명)",80,5,23,X,0,0,0,40,0,X,0,0,0,0,0,X,4,0,109,0,23,X,X,0,0,61,0,5,0,0,X,0,X,6,9,0,157,12,21,X,0,X,0,104,0,6,0,0,0,0,X,5,6,0,104,10,14,X,X,0,0,63,0,X,0,0,X,0,0,X,9,0,101,8,8,X,0,0,0,64,0,0,0,0,X,0,0,6,10,0
"울산광역시","귀농인수 (명)",67,4,20,X,0,0,0,31,0,X,0,0,0,0,0,X,4,0,78,0,19,X,X,0,0,42,0,4,0,0,X,0,0,X,7,0,108,7,17,X,0,X,0,67,0,4,0,0,0,0,X,4,6,0,75,7,11,X,X,0,0,42,0,X,0,0,X,0,0,X,8,0,74,5,6,X,0,0,0,44,0,0,0,0,X,0,0,6,9,0
"울산광역시","동반가구원수 (명)",13,X,X,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,31,0,4,0,0,0,0,19,0,X,0,0,X,0,X,X,X,0,49,5,4,0,0,0,0,37,0,X,0,0,0,0,0,X,0,0,29,X,X,0,X,0,0,21,0,0,0,0,0,0,0,0,X,0,27,X,X,0,0,0,0,20,0,0,0,0,X,0,0,0,X,0
"세종특별자치시","귀농가구원수 (명)",103,8,0,0,6,0,35,0,24,20,0,X,6,0,X,0,0,0,99,14,0,0,X,0,22,0,31,11,X,5,10,X,0,X,0,0,134,19,0,0,X,X,35,X,37,18,0,7,8,X,0,0,X,0,103,22,0,0,9,X,16,0,23,15,0,X,8,X,X,X,0,X,62,9,0,0,X,0,14,0,15,16,4,X,X,0,0,0,0,0
"세종특별자치시","귀농인수 (명)",71,7,0,0,5,0,21,0,14,15,0,X,5,0,X,0,0,0,71,13,0,0,X,0,12,0,15,11,X,5,9,X,0,X,0,0,90,14,0,0,X,X,24,X,20,13,0,4,7,X,0,0,X,0,81,21,0,0,7,X,14,0,14,12,0,X,6,X,X,X,0,X,48,9,0,0,X,0,12,0,10,11,X,X,X,0,0,0,0,0
"세종특별자치시","동반가구원수 (명)",32,X,0,0,X,0,14,0,10,5,0,0,X,0,0,0,0,0,28,X,0,0,0,0,10,0,16,0,0,0,X,0,0,0,0,0,44,5,0,0,0,X,11,X,17,5,0,X,X,0,0,0,0,0,22,X,0,0,X,X,X,0,9,X,0,X,X,0,0,0,0,X,14,0,0,0,0,0,X,0,5,5,X,0,0,0,0,0,0,0
"경기도","귀농가구원수 (명)",1403,445,7,9,96,8,17,6,9,759,4,4,12,8,0,12,6,X,1793,497,15,12,81,11,15,6,7,1027,17,15,28,22,6,16,11,7,1929,588,5,X,102,9,23,9,6,1109,16,8,14,6,6,12,7,7,1888,570,16,15,93,6,21,4,X,1065,17,8,12,15,7,13,17,7,1509,413,5,6,82,9,18,X,5,901,20,7,15,X,4,14,4,X
"경기도","귀농인수 (명)",999,326,X,5,66,5,10,4,7,536,X,4,8,6,0,9,6,X,1118,349,5,5,55,5,10,4,5,628,7,8,13,12,X,6,X,X,1288,420,5,X,68,6,11,6,X,708,15,6,9,5,5,7,6,6,1207,393,6,5,63,X,11,X,0,672,11,7,8,8,4,6,4,X,1033,301,4,6,63,5,12,X,X,587,15,7,9,X,4,8,4,X
"경기도","동반가구원수 (명)",404,119,4,4,30,X,7,X,X,223,X,0,4,X,0,X,0,0,675,148,10,7,26,6,5,X,X,399,10,7,15,10,5,10,9,4,641,168,0,0,34,X,12,X,X,401,X,X,5,X,X,5,X,X,681,177,10,10,30,X,10,X,X,393,6,X,4,7,X,7,13,4,476,112,X,0,19,4,6,0,X,314,5,0,6,0,0,6,0,0
